group,ticker,omega,alpha,beta,persistence,half_life_days,log_likelihood,aic,lb_pvalue_resid,lb_pvalue_resid_sq
software,ACIW,0.8097263732643889,0.13194151846127875,0.7289253395614906,0.8608668580227694,4.626674389657842,-3238.2520764561064,6486.504152912213,0.6820637898908132,0.9983145045459777
software,ADBE,0.4912471941820401,0.11843523419080415,0.8046963415424216,0.9231315757332258,8.66612688764936,-3213.040249189992,6436.080498379984,0.4153150612263276,0.971435532225464
software,ADP,0.08455752143502838,0.08607647730674642,0.8832323255995688,0.9693088029063152,22.236185816934896,-2558.6231158928845,5127.246231785769,0.03264897362968738,0.9868776393820351
software,ADSK,0.229524722754787,0.1011612103432909,0.8595130564896775,0.9606742668329684,17.27690073916212,-3217.3685554310177,6444.7371108620355,0.28868136205701805,0.9860033996589846
software,AKAM,0.33237547116872446,0.1263543466814309,0.8097787145467256,0.9361330612281564,10.502603459349947,-2836.145695422256,5682.291390844512,0.7827327159139648,0.9998819336003745
software,APPF,0.8555379371149346,0.10440933727285757,0.7962140785215753,0.900623415794433,6.622336423797815,-3510.19254666668,7030.38509333336,0.539502974769088,0.996447492585961
software,BOX,0.5154382333935846,0.1339891018940733,0.7891383894016292,0.9231274912957025,8.665647518352747,-3139.8048109968595,6289.609621993719,0.0842134764684766,0.9799881947831702
software,BSY,0.250997595076534,0.1064425912430536,0.850016291044422,0.9564588822874756,15.570225465722636,-2883.985099481126,5777.970198962252,0.5288128598147025,0.9486910248475202
software,CDNS,0.2606946865234623,0.09575971058223204,0.8614390639669833,0.9571987745492154,15.845463626016752,-3255.038649732877,6520.077299465754,0.255478439068052,0.8460677047750584
software,CHKP,0.35464873856709966,0.11413287998835346,0.7544260707646819,0.8685589507530354,4.918734533134951,-2705.5829315967903,5421.165863193581,0.4652074397524181,0.999510013671398
software,CLBT,0.000429295971374341,0.09831296734792117,0.9016871160478598,1.000000083395781,,-2839.929509346395,5689.85901869279,0.2531059363447374,2.226960158954291e-05
software,CORZ,3.0611795537346623e-07,0.0,0.9980247032460884,0.9980247032460884,350.56118423790946,-1469.452016428856,2948.904032857712,0.26781932542793985,0.49276869975049853
software,CPAY,0.3100884771517614,0.10985658006641785,0.8299941588782144,0.9398507389446322,11.173628872994037,-3107.7932356649026,6225.586471329805,0.08795214898225971,0.9783833861031128
software,CRM,0.26521682891150544,0.08273759651631686,0.8727067133338955,0.9554443098502123,15.20766603605484,-3254.314237967643,6518.628475935286,0.70116062332622,0.9995821934547338
software,CRWD,1.3064348132534678,0.11498744520176478,0.7708547286633547,0.8858421738651194,5.718258725212021,-3834.6353417047294,7679.270683409459,0.06414611644673503,0.6968609313532936
software,CVLT,0.24241539777112753,0.046235856166682736,0.9152107156044469,0.9614465717711296,17.63002822991678,-3203.3238609363407,6416.647721872681,0.8659089973693087,0.9837886811142037
software,DAVE,0.0003385114162720114,0.060403404133273275,0.9395966477507581,1.0000000518840313,,-3244.648145155082,6499.296290310164,3.8581894643781165e-05,4.6641081214650885e-37
software,DBX,0.23970258694374577,0.053168636069709854,0.8984985039405655,0.9516671400102754,13.991681583746391,-3173.863887081801,6357.727774163602,0.7238937546581053,0.999651151818183
software,DDOG,0.5798521772634512,0.10686581747874573,0.8628033619417774,0.9696691794205231,22.50454638360125,-3896.892036468249,7803.784072936498,0.6643378429013691,0.9674049524821494
software,DLO,2.311788487969927,0.23592301575763708,0.7015039269173261,0.9374269426749632,10.727100594974132,-3137.7001633097752,6285.4003266195505,0.954883761981202,0.9995478716586371
software,DOCN,1.4169695302840064,0.12485752817016667,0.8043451143448127,0.9292026425149794,9.439765233073166,-3329.507282513598,6669.014565027196,0.24939832541330664,0.9556041554033822
software,DOCU,1.1595358917144154,0.1667229825213218,0.7599176736518052,0.926640656173127,9.097681639040319,-3823.556657856091,7657.113315712182,0.8093906573216434,0.9997866823046327
software,DOX,0.40247465776581975,0.17916474410266137,0.6034852327942647,0.7826499768969261,2.828367394972656,-2440.5651242646295,4891.130248529259,0.5680230988707539,0.9583829234178349
software,DT,0.022734350003261634,0.026535981703224597,0.9707744815988485,0.9973104633020731,257.37319007823993,-3481.884220316102,6973.768440632204,0.8247547639568346,0.9515989769023468
software,DUOL,1.4131017261922432,0.07052432924917679,0.8581421582888674,0.9286664875380441,9.366144217520077,-3043.307664288959,6096.615328577918,0.2460912125562965,0.999210924744335
software,EEFT,0.5962819799974322,0.171447766832965,0.7441852314454754,0.9156329982784405,7.864192435677342,-3292.399495874828,6594.798991749656,0.7479969808584859,0.9997664490612077
